Countries and areas,Under-5 mortality rate (U5MR) 1990,Under-5 mortality rate (U5MR) 2011,U5MR male 2011,U5MR female 2011,Infant mortality rate (under 1) 1990,Infant mortality rate (under 1) 2011,Neonatal  mortality  rate 2011,Total population (thousands) 2011,Annual no. of births (thousands) 2011,Annual no. of under-5 deaths (thousands) 2011,GNI per capita (US$) 2011,Life expectancy at birth (years) 2011,Total adult literacy rate (%) 2007_2011*,Primary school net enrolment ratio (%) 2008_2011*,Low birthweight (%) 2007_2011,Early initiation of breastfeeding (%),Exclusive breastfeeding <6 months (%),Introduction of solid semi-solid or soft foods 6_8 months (%),Breastfeeding at age 2 (%),Underweight (%)_ 2007_2011 moderate & severe ,Underweight (%)_ 2007_2011 severe,Stunting (%)_ 2007_2011*,Wasting (%)_ 2007_2011*,Overweight (%)_ 2007_2011*,Vitamin A supplementation full coverage_ (%) 2011,Iodized salt consumption (%) 2007_2011,Use of improved drinking water sources (%) 2010 total,Use of improved drinking water sources (%) 2010 urban,Use of improved drinking water sources (%) 2010 rural,Use of improved sanitation facilities (%) 2010 total,Use of improved sanitation facilities (%) 2010 urban,Use of improved sanitation facilities (%) 2010 rural,Immunization: BCG,Immunization: DPT1_,Immunization: DPT3_,Immunization: polio3,Immunization: MCV,Immunization: HepB3,Immunization: Hib3,Newborns protected against tetanus
Botswana,52.8,25.9,27.8,23.9,41.3,20.3,11.3,2030.738,47.208,1.233,7480,53.183,84.4709,87.28565,13.1,40,20.3,45.5,5.9,11.2,3.8,31.4,7.2,11.2,75,65.2,96,99,92,62,75,41,99,98,96,96,94,93,96,92
Brazil,58,15.6,17.1,14.1,48.8,13.9,9.7,196655.014,2995.976,44.006,10720,73.488,90.29820984,_,8.39,43,41,69.9,25.2,1.7,_,7,1.98,7.3,_,95.7,98,100,85,79,85,44,99,99,96,97,97,96,97,92
Brunei Darussalam,12.3,7.2,7.9,6.5,9.2,5.6,3.9,405.938,7.63,0.053,31800,78.005,95.21942,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,96,99,97,99,91,93,96,95
Bulgaria,22.2,12.1,13.2,10.9,18.5,10.6,6.5,7446.135,75.042,0.935,6550,73.371,98.35244811,99.50673,8.8,_,_,_,_,_,_,_,_,13.6,_,100,100,100,100,100,100,100,98,96,95,95,95,96,95,_
Burkina Faso,208.4,146.4,151,141.6,104.8,81.6,34.3,16967.845,730.005,101.276,570,55.439,28.7292136,58.34438,16.2,19.6,24.8,61.1,80.1,25.7,7.2,35,11.1,_,87,33.7,79,95,73,17,50,6,99,93,91,90,63,91,91,88
Burundi,182.6,139.1,144.7,133.4,109.7,86.3,43.2,8575.172,287.651,38.625,250,50.411,67.15936,_,11.19999981,_,69.3,69.7,79.1,28.8,7.8,57.7,5.8,2.7,83,98,72,83,71,46,49,46,90,99,96,94,92,96,96,80
Cambodia,116.7,42.5,47.4,37.4,85.1,36.2,19.4,14305.183,317.179,13.43,830,63.125,73.90002557,95.93016,11.3,65.2,73.5,82.3,43.4,28.3,6.7,39.9,10.9,1.6,92,82.7,64,87,58,31,73,20,94,96,94,94,93,94,94,91
Cameroon,145.2,127.2,134.6,119.6,89.9,79.2,33.4,20030.362,715.773,87.501,1210,51.61,70.6799378,93.88648,10.8,19.6,20,63.4,24.3,14.6,4.5,32.5,5.6,6.2,_,49.1,77,95,52,49,58,36,80,90,66,67,76,66,66,75
Canada,8.3,5.6,6,5.1,6.8,4.9,3.6,34349.561,387.636,2.242,45560,81.012,_,_,5.8,_,_,_,_,_,_,_,_,_,_,_,100,100,99,100,100,99,_,98,95,99,98,70,95,_
Cape Verde,58,21.3,22.9,19.7,45,18.2,9.8,500.585,10.194,0.218,3540,74.156,84.29006,93.47458,6,72.7,59.6,80,12.7,_,_,_,_,_,_,74.8,88,90,85,61,73,43,99,99,90,90,96,90,90,92
Central African Republic,169.1,163.5,169.5,157.4,111.5,108.2,46.1,4486.837,156.2,24.581,470,48.398,55.9909,70.90381,14,43,34,55.5,32,24,8,41,7,1.8,0,64.5,67,92,51,34,43,28,74,64,54,47,62,54,54,80
Chad,208.3,169,177.4,160.3,113.2,97.1,42.3,11525.496,510.633,79.257,690,49.553,34.47456,_,19.9,28.7,3.4,46.1,59.1,30.3,12.9,38.7,15.6,2.8,_,53.8,51,70,44,13,30,6,53,45,22,31,28,22,22,60
Chile,18.7,8.7,9.5,7.8,15.7,7.7,4.7,17269.525,245.427,2.148,12280,79.12,98.55367609,93.82013,5.9,_,_,_,_,_,_,_,_,9.5,_,_,96,99,75,96,98,83,91,98,94,93,91,94,94,_
China,48.9,14.6,14.8,14.4,38.7,12.6,8.7,1347565.324,16364.165,248.618,4930,73.456,94.2722,100,2.7,41,27.6,43.3,_,3.8,_,9.8,2.6,6.6,_,96.8,91,98,85,64,74,56,99,99,99,99,99,99,_,_
Colombia,34.3,17.7,19.5,15.8,27.8,15.4,11.2,46927.125,910.296,16.256,6110,73.703,93.37232869,91.51076,6,56.6,42.8,85.6,32.5,3.4,0.6,13.2,0.9,4.8,_,_,92,99,72,77,82,63,83,95,85,85,88,85,85,79
Comoros,121.7,79.3,84.6,73.8,85.7,58.8,31.6,753.943,27.759,2.122,770,61.061,74.93553,_,25,24.89999962,20.8,34.3,45.1,_,_,_,_,21.5,_,82.3,95,91,97,36,50,30,76,94,83,85,72,83,83,85
Congo,118.8,98.8,103.3,94.1,75.1,63.8,31.7,4139.748,144.632,13.782,2270,57.379,_,90.83139,13.1,38.7,19.1,78.1,21.3,11.4,2.9,30,7.6,8.5,_,82,71,95,32,18,20,15,95,90,90,90,90,90,90,83
Cook Islands,19.1,9.5,10.7,8.2,16.4,8.1,5,20.414,_,0.004,_,_,_,98.44143,3,_,_,_,_,_,_,_,_,_,_,_,_,98,_,100,100,100,98,98,93,93,89,93,93,_
Costa Rica,17.2,10.1,11.1,9.1,14.5,8.6,6.1,4726.575,73.376,0.719,7660,79.311,96.15763,_,7.2,_,15.3,91.6,40,1.1,_,5.6,1,8.1,_,_,97,100,91,95,95,96,78,87,85,82,83,84,81,_
C™te d'Ivoire,151.4,114.9,124.6,104.9,104,81.2,41.2,20152.894,678.778,75.474,1100,55.377,56.17108,61.48166,16.7,24.89999962,4.3,50.6,37.4,15.7,4.6,27.3,5.4,_,100,84.4,80,91,68,24,36,11,74,75,62,58,49,62,62,82
Croatia,12.9,5.1,5.7,4.5,11.1,4.4,3.3,4395.56,42.965,0.232,13850,76.64,98.82636,95.86382,4.8,_,_,_,_,_,_,_,_,_,_,_,99,100,97,99,99,98,99,97,96,96,96,97,96,_
Cuba,13.3,5.8,6.3,5.2,10.6,4.5,2.8,11253.665,109.642,0.595,5460,79.143,99.83093,99.83509,5.3,70.19999695,48.6,77.2,17.1,_,_,_,_,_,_,88,94,96,89,91,94,81,99,96,96,99,99,96,96,_
Cyprus,11,3.1,3.4,2.7,9.5,2.6,1.4,1116.564,12.928,0.041,29450,79.591,98.27978,99.04123,_,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,_,99,99,99,87,96,96,_
Czech Republic,14.3,3.9,4.3,3.5,12.6,3.2,2.3,10534.293,115.686,0.46,18520,77.685,_,_,6.6,_,_,_,_,_,_,_,_,4.4,_,_,100,100,100,98,99,97,_,99,99,99,98,99,99,_
Democratic People's Republic of Korea,45,33.2,34.8,31.6,22.9,26.3,17.5,24451.285,347.836,11.75,_,68.846,99.99826243,_,5.7,18.4,65.1,31.4,36,18.8,3.9,32.4,5.2,_,100,24.5,98,99,97,80,86,71,98,95,94,99,99,94,_,93
Democratic Republic of the Congo,181.4,167.7,177.5,157.7,117.3,110.6,47.1,67757.577,2911.849,465.095,190,48.397,66.79862,_,9.5,42.5,37,51.5,52.5,24.2,8.4,43.4,8.5,_,98,58.6,45,79,27,24,24,24,67,79,70,78,71,70,70,70
Denmark,8.7,3.7,4.1,3.3,7.2,3.1,2.4,5572.594,63.674,0.243,60390,78.826,_,95.97361,4.5,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,_,94,91,91,87,_,91,_
Djibouti,121.6,89.5,94.9,83.9,94.2,71.8,32.9,905.564,26.031,2.248,1270,57.937,_,44.59148,10.2,67.1,1.3,34.7,18.4,22.9,4.9,30.8,10,10.2,95,0.4,88,99,54,50,63,10,89,89,87,87,84,87,87,79
Dominica,17.4,11.8,12.9,10.7,14.1,10.7,8.4,67.675,_,0.012,7090,_,_,98.37939,10.4,_,_,_,_,_,_,_,_,_,_,_,_,96,_,_,_,_,99,99,98,99,99,98,98,_
Dominican Republic,58.3,24.7,26.5,22.8,45.2,20.9,13.8,10056.181,215.528,5.259,5240,73.396,89.53873319,93.03038,11,65.2,7.8,87.7,12,3.1,0.3,9.8,2.2,8.3,_,18.5,86,87,84,83,87,75,98,91,84,84,79,80,71,90
Ecuador,52.4,22.8,25,20.5,40.8,19.6,10.2,14666.055,297.868,6.825,4140,75.632,91.85404065,98.47348,8,_,39.5,76.5,22.7,6.2,_,_,_,5.1,_,_,94,96,89,92,96,84,99,99,99,99,98,98,99,85
Egypt,85.7,21.1,22.4,19.8,62.9,18,7.4,82536.77,1885.631,39.593,2600,73.235,72.04785265,96.29669,12.9,55.9,53.2,69.9,34.5,6,1.3,28.9,7.2,20.5,_,78.7,99,100,99,95,97,93,98,97,96,96,96,96,_,86
El Salvador,60.2,15.2,16.8,13.5,46.5,13.1,6.3,6227.491,125.686,2.055,3480,72.196,84.4927239,95.34208,8.7,32.8,31.4,71.9,54,5.5,0.7,19.2,1,5.7,_,62,88,94,76,87,89,83,91,90,89,89,89,90,90,88
Equatorial Guinea,189.6,118.1,123.6,112.4,118.3,79.6,37.3,720.213,26.298,2.948,14540,51.088,93.94134,56.28042,12.8,_,23.5,_,_,11,_,35,2.8,8.3,_,33.3,_,_,_,_,_,_,73,65,33,39,51,_,_,75
Eritrea,137.7,67.8,74.1,61.3,85.5,46.3,21.5,5415.28,192.717,12.703,430,61.597,67.77046,34.88901,14.1,77.90000153,52,42.5,61.7,34.5,12.8,43.7,14.9,1.6,46,68,_,_,_,_,_,4,99,99,99,99,99,99,99,93
Estonia,20.1,3.7,4.1,3.3,16.3,2.8,1.7,1340.537,16.226,0.061,15200,74.825,99.79558,96.27517,4.3,_,_,_,_,_,_,_,_,_,_,_,98,99,97,95,96,94,99,96,93,93,94,94,93,_
Ethiopia,198.3,77,82.3,71.5,118.2,51.5,31.3,84734.262,2613.323,193.937,400,59.274,38.99598154,82.20053,20.3,51.5,52,54.5,82.3,28.7,8.8,44.4,9.7,1.7,71,15.4,44,97,34,21,29,19,69,61,51,62,57,51,51,88
Fiji,29.6,16.4,17.6,15.1,24.7,14.1,7.6,868.406,18.369,0.307,3680,69.245,_,99.05682,10.2,57.3,39.8,_,_,_,_,_,_,_,_,_,98,100,95,83,94,71,99,99,99,99,94,99,99,94
Finland,6.7,2.9,3.2,2.6,5.6,2.3,1.6,5384.77,60.973,0.178,48420,79.977,_,97.75959,4.3,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,_,99,99,99,97,_,99,_
France,8.8,4.1,4.5,3.7,7.3,3.4,2.3,63125.894,792.305,3.276,42420,81.539,_,99.18698,_,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,_,99,99,99,89,65,97,_
Gabon,94.4,65.6,71.6,59.4,68.5,49.3,24.5,1534.262,41.62,2.636,7980,62.703,88.38389,_,14.3,71.40000153,6.2,61.8,8.6,8.4,2.2,25.1,4,5.6,_,36,87,95,41,33,33,30,89,69,45,44,55,45,45,75
Gambia,164.6,100.6,106.7,94.3,78.1,57.6,34.1,1776.103,66.915,6.385,610,58.491,49.95741,69.30743,10.2,51.6,33.5,33.8,31.4,18.1,4.4,24.4,9.9,1.8,93,21.1,89,92,85,68,70,65,90,99,96,95,91,96,96,91
Georgia,46.9,20.5,22.6,18.2,40.2,18.3,14.5,4329.026,50.85,1.07,2860,73.737,99.72504,100,4.9,69,54.8,43.1,16.6,1.1,0.5,11.3,1.6,19.9,_,99.9,98,100,96,95,96,93,96,95,94,90,94,92,92,_
Germany,8.5,4,4.4,3.6,7,3.3,2.3,82162.512,699.441,2.885,43980,80.414,_,99.76042,_,_,_,_,_,_,_,_,_,3.5,_,_,100,100,100,100,100,100,_,99,99,95,99,93,93,_
Ghana,120.9,77.6,82.8,72.2,76.2,51.8,29.5,24965.816,776.01,59.658,1410,64.228,67.27296,84.23172,13.4,52.3,62.8,75.8,43.9,13.9,3.1,28,8.5,5.9,_,32.4,86,91,80,14,19,8,98,94,91,91,91,91,91,88
Greece,12.7,4.4,4.7,4.1,11.5,3.7,2.7,11390.031,117.228,0.543,25030,79.915,97.18821,_,_,_,_,_,_,_,_,_,_,_,_,_,100,100,99,98,99,97,91,99,99,99,99,95,83,_
Grenada,21,12.8,13.2,12.3,16.9,10.3,6.6,104.89,2.037,0.027,7220,75.956,_,97.45839,9,_,_,_,_,_,_,_,_,_,_,_,_,97,_,97,96,97,_,98,94,95,95,94,94,_
Guatemala,78,30.4,32.8,27.9,55.5,24.2,14.5,14757.316,473.216,13.918,2870,71.172,75.1834,98.61178,11.4,55.5,49.6,71.3,46.2,13,_,48,1.1,4.9,28,76,92,98,87,78,87,70,89,91,85,86,87,85,85,85
Guinea,228.2,125.8,128.1,123.3,134.8,78.9,39.3,10221.808,394.195,47.506,440,54.097,41.04688,76.95124,12.2,40.2,48.1,32.4,_,20.8,6.7,40,8.3,_,88,41.1,74,90,65,18,32,11,93,86,59,57,58,59,59,80
Guinea-Bissau,210.4,160.6,173.6,147.2,124.8,98,43.8,1547.061,58.786,8.967,600,48.132,54.18319,74.9957,11,54.6,38.3,43.3,64.9,18.1,4.6,32.2,5.8,3.2,100,11.7,64,91,53,20,44,9,93,92,76,73,61,76,76,80
Guyana,63,35.9,40,31.6,48.4,29.4,19.6,756.04,13.466,0.409,2900,69.927,_,84.07951,14.3,43.09999847,33.2,80.8,49.3,10.5,1.6,18.2,5.3,6.2,_,10.5,94,98,93,84,88,82,97,97,93,93,98,93,93,90
Haiti,143,70,74.3,65.5,99.2,52.9,25.1,10123.787,266.231,18.514,700,62.095,48.68502206,_,24.6,44.29999924,40.7,90.1,34.9,17.7,6.2,28.5,10.2,3.9,36,3.1,69,85,51,17,24,10,75,83,59,59,59,_,_,70
Honduras,55,21.4,22.7,20,42.9,18.2,10.7,7754.687,204.512,4.34,1970,73.126,84.75536182,95.75431,10.2,78.59999847,29.7,83.5,47.5,8.1,1.2,29.4,1.3,5.8,_,_,87,95,79,77,85,69,99,99,98,98,99,98,98,94
Hungary,18.7,6.3,6.7,5.8,16.7,5.4,3.7,9966.116,99.753,0.624,12730,74.414,99.04557,97.98347,8.5,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,99,99,99,99,99,_,99,_
Iceland,6.3,2.5,2.8,2.2,5.2,1.7,1.1,324.366,4.779,0.012,35020,81.804,_,99.44382,3.8,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,_,98,96,96,93,_,96,_
India,114.2,61.3,58.8,64.1,81,47.2,32.3,1241491.96,27098.275,1655.394,1410,65.438,62.75447457,98.15581,27.6,40.5,46.4,56.1,76.8,42.5,15.8,48,19.8,1.9,66,71.1,92,97,90,34,58,23,87,83,72,70,74,47,_,87
Indonesia,81.6,31.8,34.4,29.1,54.1,24.8,15.3,242325.638,4331.1,134.447,2940,69.366,92.58169512,99.08067,8.8,29.3,32,84.6,50,17.9,4.9,35.6,13.3,14,76,62.3,82,92,74,54,73,39,82,86,63,70,89,63,_,85
Iran (Islamic Republic of),61.1,25,25.4,24.5,47.1,21.1,13.8,74798.599,1255.194,32.669,4520,72.974,85.01876698,_,7.2,55.59999847,23.1,67.7,57.5,_,_,_,_,_,_,98.7,96,97,92,100,100,100,99,99,99,99,99,99,_,95
Iraq,46,37.9,40.8,34.8,36.7,30.9,19.9,32664.942,1143.989,42.418,2640,69.042,78.16945,_,14.8,30.60000038,25.1,61.8,35.7,6.4,1.8,26.4,5.6,15,_,28.4,79,91,56,73,76,67,92,90,77,78,76,76,_,85
Ireland,9,4,4.4,3.6,7.5,3.2,2.2,4525.802,72.285,0.309,38580,80.557,_,99.69435,_,_,_,_,_,_,_,_,_,_,_,_,100,100,100,99,100,98,41,98,95,95,92,95,95,_
Israel,11.5,4.3,4.6,4,9.6,3.5,2.1,7562.194,156.041,0.674,28930,81.618,_,96.9677,8.2,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,_,96,94,94,98,99,93,_
Italy,9.7,3.7,3.9,3.4,8.4,3.2,2.3,60788.694,556.778,2.148,35330,81.855,98.93336,99.0964,_,_,_,_,_,_,_,_,_,_,_,_,100,100,100,_,_,_,_,98,96,96,90,96,96,_
Jamaica,34.5,18.3,20.9,15.6,28.4,15.7,11.4,2751.273,50.146,1.004,4980,73.127,86.61514,82.37867,12.1,62.29999924,15.2,35.6,24,2,_,3.7,2.2,_,_,_,93,98,88,80,78,82,99,99,99,99,88,99,99,80
Japan,6.4,3.4,3.6,3.2,4.6,2.4,1.1,126497.241,1072.993,3.688,45180,83.394,_,99.97133,7.8,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,94,99,98,96,94,_,_,_
Jordan,36.7,20.7,22.1,19.3,31.3,18,12.1,6330.169,153.808,3.469,4380,73.403,92.55104289,90.71775,12.6,38.8,21.8,83.5,10.9,1.9,0.2,8,1.5,6.6,_,88.3,97,98,92,98,98,98,95,98,98,98,98,98,98,90
Kazakhstan,57,28.3,32.3,24,48,25,14.4,16206.75,344.858,10.61,8220,67.017,99.69386,99.68267,5.8,64.19999695,16.8,49.9,16.2,3.9,0.9,16.8,4.7,16.9,_,92,95,99,90,97,97,98,96,99,99,99,99,99,95,_
Kenya,97.8,72.8,78.3,67.1,63.5,48.3,26.7,41609.728,1559.624,106.811,820,57.134,87.38124,84.00683,7.7,58.1,31.9,85.2,53.6,16.1,3.6,35.3,6.7,4.7,_,97.6,59,82,52,32,32,32,92,95,88,88,87,88,88,73
Kiribati,87.6,47.4,49.8,44.9,64.1,37.7,19.1,101.093,_,0.095,2110,_,_,_,_,_,69,_,81.7,_,_,_,_,_,_,_,_,_,_,_,_,_,86,99,99,95,90,95,95,_
Kuwait,16.9,10.9,11.6,10.2,14,9.3,5.4,2818.042,49.957,0.607,48900,74.576,93.90620595,98.21081,_,_,_,_,_,_,_,_,_,9,_,_,99,99,99,100,100,100,99,99,99,99,99,99,99,95
Kyrgyzstan,70.3,30.6,33.6,27.5,57.9,27,15.8,5392.58,131.09,4.273,920,67.714,99.24140488,95.28759,5.3,64.90000153,31.5,60.1,26.2,2.2,0.3,17.5,3.3,10.7,_,76.1,90,99,85,93,94,93,98,97,96,94,97,96,96,_
Lao People's Democratic Republic,147.7,41.9,44.3,39.4,102.1,33.8,17.5,6288.037,140.398,5.892,1130,67.484,72.7022592,96.79809,10.8,29.79999924,26,40.5,48,31.1,9,47.7,7.4,1.3,92,83.8,67,77,62,63,89,50,77,83,78,79,69,78,78,80
Latvia,20.6,8.3,8.8,7.8,16.7,7.1,5.1,2243.142,24.326,0.196,12350,73.339,99.78384,95.83869,5.2,_,_,_,_,_,_,_,_,_,_,_,99,100,96,_,_,_,95,97,94,94,99,91,93,_
Lebanon,33.1,9.3,9.6,9,27.4,8,5.3,4259.405,64.673,0.642,9110,72.64,89.61243888,93.23872,11.5,_,14.8,35.2,14.6,_,_,_,_,16.7,_,70.7,100,100,100,_,100,_,_,84,81,75,79,81,81,_
Lesotho,87.5,86,92.9,78.9,70.8,62.6,38.6,2193.843,60.426,5.123,1220,48.196,89.64732,73.73711,10.7,53.4,53.5,67.6,35.1,13.2,2.3,39.2,3.8,7.2,_,84.4,78,91,73,26,32,24,95,93,83,91,85,83,83,83
Liberia,241.2,78.3,82.7,73.7,160.8,58.2,27.4,4128.572,156.565,11.947,240,56.786,60.77754,_,13.7,44.1,34,50.8,40.6,14.9,2.3,41.8,2.8,3.9,96,_,73,88,60,18,29,7,73,61,49,56,40,49,49,91
Libya,44.1,16.2,16.9,15.5,32.7,12.8,9.6,6422.772,143.762,2.325,12320,74.788,89.20996,_,_,_,_,_,_,_,_,_,_,22.4,_,_,_,_,_,97,97,96,99,98,98,98,98,98,98,_
Lithuania,17.4,5.7,6.2,5.2,14.1,4.7,2.8,3307.481,35.239,0.21,12280,72.231,99.70005,95.6933,4.4,_,_,_,_,_,_,_,_,_,_,_,_,98,_,_,95,_,98,95,92,92,94,95,92,_
Luxembourg,8.4,3.2,3.4,2.9,7,2.3,1.5,515.941,5.949,0.019,78130,79.963,_,96.80517,7.5,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,_,99,99,99,96,95,99,_
Madagascar,161.2,61.6,65.2,58,98.3,42.8,23,21315.135,746.843,44.662,430,66.718,64.48090564,_,15.6,72.4,50.7,85.7,60.5,36,_,50.1,15,_,91,52.6,46,74,34,15,21,12,82,96,89,88,70,89,89,78
